season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,status,exit_week,exit_week_inferred,week,judge_total,num_judges,zero_placeholder,active
11,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,eliminated,5,0,5,21.0,3,0,1
11,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,finalist,10,1,5,20.0,3,0,1
11,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,finalist,10,1,5,25.0,3,0,1
11,Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,eliminated,7,0,5,24.0,3,0,1
11,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,eliminated,8,0,5,24.0,3,0,1
11,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,eliminated,3,0,5,,0,1,0
11,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,Eliminated Week 2,11,eliminated,2,0,5,,0,1,0
11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,eliminated,9,0,5,27.0,3,0,1
11,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,eliminated,4,0,5,,0,1,0
11,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,eliminated,6,0,5,23.0,3,0,1
11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,finalist,10,1,5,18.0,3,0,1
12,Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,Eliminated Week 9,4,eliminated,9,0,5,22.0,3,0,1
12,Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,3rd Place,3,finalist,10,1,5,26.0,3,0,1
12,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,2nd Place,2,finalist,10,1,5,23.0,3,0,1
12,Hines Ward,Kym Johnson,Athlete,,South Korea,35,1st Place,1,finalist,10,1,5,27.0,3,0,1
12,Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,Eliminated Week 4,9,eliminated,4,0,5,,0,1,0
12,Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,Eliminated Week 6,7,eliminated,6,0,5,26.0,3,0,1
12,Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,Eliminated Week 5,8,eliminated,5,0,5,22.0,3,0,1
12,Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,Eliminated Week 2,11,eliminated,2,0,5,,0,1,0
12,Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,Eliminated Week 8,5,eliminated,8,0,5,26.0,3,0,1
12,Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,Eliminated Week 3,10,eliminated,3,0,5,,0,1,0
12,Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,Eliminated Week 7,6,eliminated,7,0,5,22.0,3,0,1
13,Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,Eliminated Week 2,11,eliminated,2,0,5,,0,1,0
13,David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,Eliminated Week 7,6,eliminated,7,0,5,25.0,3,0,1
13,Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,3rd Place,3,finalist,10,1,5,24.0,3,0,1
13,J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,1st Place,1,finalist,10,1,5,28.0,3,0,1
13,Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,Eliminated Week 1,12,eliminated,1,0,5,,0,1,0
13,Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,Eliminated Week 9,4,eliminated,9,0,5,24.0,3,0,1
13,Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,Eliminated Week 4,9,eliminated,4,0,5,,0,1,0
13,Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,Eliminated Week 3,10,eliminated,3,0,5,,0,1,0
13,Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,Eliminated Week 5,8,eliminated,5,0,5,19.0,3,0,1
13,Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,Eliminated Week 6,7,eliminated,6,0,5,21.0,3,0,1
13,Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,Eliminated Week 8,5,eliminated,8,0,5,22.0,3,0,1
13,Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,2nd Place,2,finalist,10,1,5,25.0,3,0,1
14,William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,3rd Place,3,finalist,10,1,5,29.0,3,0,1
14,Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,Eliminated Week 3,11,eliminated,3,0,5,,0,1,0
14,Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,Eliminated Week 4,10,eliminated,4,0,5,,0,1,0
14,Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,Eliminated Week 7,7,eliminated,7,0,5,24.0,3,0,1
14,Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,Eliminated Week 8,6,eliminated,8,0,5,26.0,3,0,1
14,Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,Eliminated Week 8,5,eliminated,8,0,5,21.0,3,0,1
14,Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,Eliminated Week 2,12,eliminated,2,0,5,,0,1,0
14,Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,1st Place,1,finalist,10,1,5,27.0,3,0,1
14,Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,Eliminated Week 5,9,eliminated,5,0,5,19.0,3,0,1
14,Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,Eliminated Week 6,8,eliminated,6,0,5,22.0,3,0,1
14,Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,2nd Place,2,finalist,10,1,5,29.0,3,0,1
14,Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,Eliminated Week 9,4,eliminated,9,0,5,27.0,3,0,1
15,Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,Eliminated Week 8,6,eliminated,8,0,5,28.25,3,0,1
15,Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,Eliminated Week 6,8,eliminated,6,0,5,29.25,3,0,1
15,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,Eliminated Week 8,7,eliminated,8,0,5,26.25,3,0,1
15,Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,3rd Place,3,finalist,10,1,5,25.75,3,0,1
15,Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,Eliminated Week 9,5,eliminated,9,0,5,28.25,3,0,1
15,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,Eliminated Week 9,4,eliminated,9,0,5,28.0,3,0,1
15,Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,2nd Place,2,finalist,10,1,5,28.25,3,0,1
15,Pamela Anderson,Tristan MacManus,Model,,Canada,45,Eliminated Week 1,13,eliminated,1,0,5,,0,1,0
15,Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,Eliminated Week 3,10,eliminated,3,0,5,,0,1,0
15,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,Eliminated Week 2,12,eliminated,2,0,5,,0,1,0
15,Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,Eliminated Week 3,11,eliminated,3,0,5,,0,1,0
15,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,Eliminated Week 4,9,eliminated,4,0,5,,0,1,0
15,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,1st Place,1,finalist,10,1,5,28.25,3,0,1
16,Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,Eliminated Week 9,5,eliminated,9,0,5,21.0,3,0,1
16,Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,2nd Place,2,finalist,10,1,5,29.0,3,0,1
16,Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,Withdrew,12,withdrew,2,1,5,,0,1,0
16,Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,Eliminated Week 6,8,eliminated,6,0,5,21.0,3,0,1
16,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,eliminated,10,0,5,25.0,3,0,1
16,Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,3rd Place,3,finalist,10,1,5,26.0,3,0,1
16,D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,Eliminated Week 5,9,eliminated,5,0,5,18.0,3,0,1
16,Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,Eliminated Week 7,7,eliminated,7,0,5,18.0,3,0,1
16,Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,Eliminated Week 3,11,eliminated,3,0,5,,0,1,0
16,Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,1st Place,1,finalist,10,1,5,27.0,3,0,1
16,Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,Eliminated Week 4,10,eliminated,4,0,5,,0,1,0
16,Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,Eliminated Week 8,6,eliminated,8,0,5,24.0,3,0,1
17,Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,Eliminated Week 4,10,eliminated,4,0,5,,0,1,0
17,Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,Eliminated Week 8,7,eliminated,8,0,5,27.0,3,0,1
17,Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,Eliminated Week 9,6,eliminated,9,0,5,26.0,3,0,1
17,Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,Eliminated Week 10,5,eliminated,10,0,5,22.0,3,0,1
17,Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,2nd Place,2,finalist,11,1,5,28.0,3,0,1
17,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,finalist,11,1,5,26.0,3,0,1
17,Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,Eliminated Week 2,12,eliminated,2,0,5,,0,1,0
17,Bill Engvall,Emma Slater,Comedian,Texas,United States,56,Eliminated Week 11,4,eliminated,11,0,5,24.0,3,0,1
17,Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,Eliminated Week 5,9,eliminated,5,0,5,28.0,3,0,1
17,"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,Eliminated Week 7,8,eliminated,7,0,5,27.0,3,0,1
17,Jack Osbourne,Cheryl Burke,TV Personality,,England,27,3rd Place,3,finalist,11,1,5,27.0,3,0,1
17,Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,Eliminated Week 3,11,eliminated,3,0,5,,0,1,0
18,Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,Withdrew,10,withdrew,2,1,5,,0,1,0
18,Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,Eliminated Week 8,6,eliminated,8,0,5,39.0,4,0,1
18,James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,Eliminated Week 10,4,eliminated,10,0,5,40.0,4,0,1
18,Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,3rd Place,3,finalist,10,1,5,35.0,4,0,1
18,Sean Avery,Karina Smirnoff,Athlete,,Canada,33,Eliminated Week 2,11,eliminated,2,0,5,,0,1,0
18,Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,Eliminated Week 2,12,eliminated,2,0,5,,0,1,0
18,Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,Eliminated Week 9,5,eliminated,9,0,5,37.0,4,0,1
18,Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,2nd Place,2,finalist,10,1,5,37.0,4,0,1
18,Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,1st Place,1,finalist,10,1,5,36.0,4,0,1
18,Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,Eliminated Week 6,8,eliminated,6,0,5,28.0,4,0,1
18,Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,Eliminated Week 5,9,eliminated,5,0,5,34.0,4,0,1
18,NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,Eliminated Week 7,7,eliminated,7,0,5,36.0,4,0,1
19,Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,Eliminated Week 7,8,eliminated,7,0,5,28.0,4,0,1
19,Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,Eliminated Week 6,9,eliminated,6,0,5,24.0,4,0,1
19,Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,Eliminated Week 9,6,eliminated,9,0,5,34.0,4,0,1
19,Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,3rd Place,3,finalist,11,1,5,33.0,4,0,1
19,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,finalist,11,1,5,34.0,4,0,1
19,Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,Eliminated Week 1,13,eliminated,1,0,5,,0,1,0
19,Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,Eliminated Week 3,11,eliminated,3,0,5,,0,1,0
19,Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,Eliminated Week 10,5,eliminated,10,0,5,23.0,4,0,1
19,Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,Eliminated Week 4,10,eliminated,4,0,5,,0,1,0
19,Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,Eliminated Week 8,7,eliminated,8,0,5,20.0,4,0,1
19,Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,Eliminated Week 2,12,eliminated,2,0,5,,0,1,0
19,Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,Eliminated Week 11,4,eliminated,11,0,5,32.0,4,0,1
19,Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,2nd Place,2,finalist,11,1,5,36.0,4,0,1
20,Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,Eliminated Week 5,9,eliminated,5,0,5,28.0,4,0,1
20,Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,Eliminated Week 7,7,eliminated,7,0,5,34.0,4,0,1
20,Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,2nd Place,2,finalist,10,1,5,38.0,4,0,1
20,Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,1st Place,1,finalist,10,1,5,39.0,4,0,1
20,Nastia Liukin,Derek Hough,Athlete,,Russia,25,Eliminated Week 9,4,eliminated,9,0,5,38.0,4,0,1
20,Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,Eliminated Week 4,10,eliminated,4,0,5,,0,1,0
20,Robert Herjavec,Kym Johnson,Entrepreneur,,Croatia,52,Eliminated Week 8,6,eliminated,8,0,5,24.0,4,0,1
20,Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,Eliminated Week 3,11,eliminated,3,0,5,,0,1,0
20,Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,3rd Place,3,finalist,10,1,5,28.0,4,0,1
20,Redfoo,Emma Slater,Singer/Rapper,California,United States,39,Eliminated Week 2,12,eliminated,2,0,5,,0,1,0
20,Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,Eliminated Week 6,8,eliminated,6,0,5,27.0,4,0,1
20,Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,Eliminated Week 8,5,eliminated,8,0,5,27.0,4,0,1
21,Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,Eliminated Week 4,10,eliminated,4,0,5,,0,1,0
21,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,eliminated,9,0,5,40.0,4,0,1
21,Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,Eliminated Week 11,4,eliminated,11,0,5,39.0,4,0,1
21,Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,Eliminated Week 2,12,eliminated,2,0,5,,0,1,0
21,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,finalist,11,1,5,29.0,4,0,1
21,Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,Eliminated Week 2,13,eliminated,2,0,5,,0,1,0
21,Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,Eliminated Week 8,7,eliminated,8,0,5,36.0,4,0,1
21,Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,Withdrew,5,withdrew,9,1,5,29.0,4,0,1
21,Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,2nd Place,2,finalist,11,1,5,35.0,4,0,1
21,Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,Eliminated Week 7,8,eliminated,7,0,5,30.0,4,0,1
21,Bindi Irwin,Derek Hough,TV Personality,,Australia,17,1st Place,1,finalist,11,1,5,37.0,4,0,1
21,Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,Withdrew,11,withdrew,2,1,5,,0,1,0
21,Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,Eliminated Week 6,9,eliminated,6,0,5,26.0,4,0,1
22,Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,Eliminated Week 3,11,eliminated,3,0,5,,0,1,0
22,Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,Eliminated Week 7,8,eliminated,7,0,5,28.0,4,0,1
22,Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,Eliminated Week 8,6,eliminated,8,0,5,35.0,4,0,1
22,Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,Eliminated Week 6,9,eliminated,6,0,5,28.0,4,0,1
22,Von Miller,Witney Carson,Athlete,Texas,United States,27,Eliminated Week 7,7,eliminated,7,0,5,29.0,4,0,1
22,Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,Eliminated Week 9,5,eliminated,9,0,5,26.0,4,0,1
22,Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,2nd Place,2,finalist,10,1,5,31.0,4,0,1
22,Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,Eliminated Week 2,12,eliminated,2,0,5,,0,1,0
22,Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,1st Place,1,finalist,10,1,5,37.0,4,0,1
22,Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,3rd Place,3,finalist,10,1,5,32.0,4,0,1
22,Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,Eliminated Week 9,4,eliminated,9,0,5,30.0,4,0,1
22,Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,Eliminated Week 4,10,eliminated,4,0,5,,0,1,0
23,Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,Eliminated Week 2,13,eliminated,2,0,5,,0,1,0
23,Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,Eliminated Week 7,8,eliminated,7,0,5,24.0,3,0,1
23,Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,Eliminated Week 9,6,eliminated,9,0,5,27.0,3,0,1
23,Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,Eliminated Week 8,7,eliminated,8,0,5,24.0,3,0,1
23,Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,3rd Place,3,finalist,11,1,5,24.0,3,0,1
23,Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,1st Place,1,finalist,11,1,5,25.0,3,0,1
23,Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,Eliminated Week 6,9,eliminated,6,0,5,24.0,3,0,1
23,Rick Perry,Emma Slater,Politician,Texas,United States,66,Eliminated Week 3,12,eliminated,3,0,5,,0,1,0
23,James Hinchcliffe,Sharna Burgess,Racing Driver,,Canada,29,2nd Place,2,finalist,11,1,5,29.0,3,0,1
23,Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,Eliminated Week 4,11,eliminated,4,0,5,,0,1,0
23,Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,Eliminated Week 4,10,eliminated,4,0,5,,0,1,0
23,Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,Eliminated Week 11,4,eliminated,11,0,5,26.0,3,0,1
23,Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,Eliminated Week 10,5,eliminated,10,0,5,27.0,3,0,1
24,Charo,Keo Motsepe,Actor/Actress,,Spain,66,Eliminated Week 3,11,eliminated,3,0,5,,0,1,0
24,Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,Eliminated Week 4,10,eliminated,4,0,5,,0,1,0
24,Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,Eliminated Week 6,8,eliminated,6,0,5,34.0,4,0,1
24,Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,Eliminated Week 7,7,eliminated,7,0,5,36.0,4,0,1
24,Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,Eliminated Week 8,5,eliminated,8,0,5,30.0,4,0,1
24,Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,Eliminated Week 9,4,eliminated,9,0,5,38.0,4,0,1
24,David Ross,Lindsay Arnold,Athlete,Georgia,United States,40,2nd Place,2,finalist,10,1,5,29.0,4,0,1
24,Rashad Jennings,Emma Slater,Athlete,Virginia,United States,32,1st Place,1,finalist,10,1,5,32.0,4,0,1
24,Chris Kattan,Witney Carson,Comedian,California,United States,46,Eliminated Week 2,12,eliminated,2,0,5,,0,1,0
24,Erika Jayne,Gleb Savchenko,Singer/Rapper,Georgia,United States,45,Eliminated Week 5,9,eliminated,5,0,5,32.0,4,0,1
24,Normani,Valentin Chmerkovskiy,Singer/Rapper,Georgia,United States,20,3rd Place,3,finalist,10,1,5,39.0,4,0,1
24,Nick Viall,Peta Murgatroyd,TV Personality,Wisconsin,United States,36,Eliminated Week 7,6,eliminated,7,0,5,34.0,4,0,1
25,Sasha Pieterse,Gleb Savchenko,Actor/Actress,,South Africa,21,Eliminated Week 5,10,eliminated,5,0,5,24.0,3,0,1
25,Frankie Muniz,Witney Carson,Actor/Actress,New Jersey,United States,31,3rd Place,3,finalist,10,1,5,29.0,3,0,1
25,Jordan Fisher,Lindsay Arnold,Actor/Actress,Alabama,United States,23,1st Place,1,finalist,10,1,5,30.0,3,0,1
25,Derek Fisher,Sharna Burgess,Athlete,Arkansas,United States,43,Eliminated Week 4,11,eliminated,4,0,5,,0,1,0
25,Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,Eliminated Week 7,8,eliminated,7,0,5,27.0,3,0,1
25,Terrell Owens,Cheryl Burke,Athlete,Alabama,United States,43,Eliminated Week 8,6,eliminated,8,0,5,25.0,3,0,1
25,Victoria Arlen,Valentin Chmerkovskiy,Athlete,New Hamshire,United States,22,Eliminated Week 9,5,eliminated,9,0,5,27.0,3,0,1
25,Barbara Corcoran,Keo Motsepe,Entrepreneur,New Jersey,United States,68,Eliminated Week 2,13,eliminated,2,0,5,,0,1,0
25,Lindsey Stirling,Mark Ballas,Musician,California,United States,31,2nd Place,2,finalist,10,1,5,28.0,3,0,1
25,Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,Eliminated Week 2,12,eliminated,2,0,5,,0,1,0
25,Nick Lachey,Peta Murgatroyd,Singer/Rapper,Kentucky,United States,43,Eliminated Week 6,9,eliminated,6,0,5,22.0,3,0,1
25,Drew Scott,Emma Slater,TV Personality,,Canada,39,Eliminated Week 10,4,eliminated,10,0,5,25.0,3,0,1
25,Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,,Philippines,36,Eliminated Week 7,7,eliminated,7,0,5,24.0,3,0,1
26,Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,Eliminated Week 1,10,eliminated,1,0,5,,0,0,0
26,Johnny Damon,Emma Slater,Athlete,Kansas,United States,44,Eliminated Week 1,9,eliminated,1,0,5,,0,0,0
26,Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,New York,United States,71,Eliminated Week 2,8,eliminated,2,0,5,,0,0,0
26,Arike Ogunbowale,Gleb Savchenko,Athlete,Wisconsin,United States,21,Eliminated Week 2,7,eliminated,2,0,5,,0,0,0
26,Jennie Finch Daigle,Keo Motsepe,Athlete,California,United States,37,Eliminated Week 3,6,eliminated,3,0,5,,0,0,0
26,Chris Mazdzer,Witney Carson,Athlete,Massachusetts,United States,29,Eliminated Week 3,5,eliminated,3,0,5,,0,0,0
26,Mirai Nagasu,Alan Bersten,Athlete,California,United States,25,Eliminated Week 3,4,eliminated,3,0,5,,0,0,0
26,Tonya Harding,Sasha Farber,Athlete,Oregon,United States,47,3rd Place,3,finalist,4,1,5,,0,0,0
26,Josh Norman,Sharna Burgess,Athlete,South Carolina,United States,30,2nd Place,2,finalist,4,1,5,,0,0,0
26,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,1st Place,1,finalist,4,1,5,,0,0,0
27,Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,,Argentina,39,Eliminated Week 8,5,eliminated,8,0,5,29.0,3,0,1
27,Evanna Lynch,Keo Motsepe,Actor/Actress,,Ireland,27,3rd Place,3,finalist,9,1,5,24.0,3,0,1
27,Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,New York,United States,52,Eliminated Week 3,11,eliminated,3,0,5,,0,1,0
27,John Schneider,Emma Slater,Actor/Actress,New York,United States,58,Eliminated Week 7,8,eliminated,7,0,5,24.0,3,0,1
27,Milo Manheim,Witney Carson,Actor/Actress,California,United States,17,2nd Place,2,finalist,9,1,5,27.0,3,0,1
27,Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,Eliminated Week 2,12,eliminated,2,0,5,,0,1,0
27,Mary Lou Retton,Sasha Farber,Athlete,West Virginia,United States,50,Eliminated Week 6,9,eliminated,6,0,5,25.0,3,0,1
27,DeMarcus Ware,Lindsay Arnold,Athlete,Alabama,United States,36,Eliminated Week 7,7,eliminated,7,0,5,26.0,3,0,1
27,Nikki Glaser,Gleb Savchenko,Comedian,Ohio,United States,34,Eliminated Week 1,13,eliminated,1,0,5,,0,1,0
27,Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1st Place,1,finalist,9,1,5,21.0,3,0,1
27,Tinashe,Brandon Armstrong,Singer/Rapper,Kentucky,United States,25,Eliminated Week 4,10,eliminated,4,0,5,,0,1,0
27,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,finalist,9,1,5,29.0,3,0,1
27,Joe Amabile,Jenna Johnson,TV Personality,Illinois,United States,32,Eliminated Week 8,6,eliminated,8,0,5,17.0,3,0,1
28,Kate Flannery,Pasha Pashkov,Actor/Actress,Pennsylvania,United States,55,Eliminated Week 8,7,eliminated,8,0,5,24.0,3,0,1
28,James Van Der Beek,Emma Slater,Actor/Actress,Connecticut,United States,42,Eliminated Week 10,5,eliminated,10,0,5,26.0,3,0,1
